method vars sample run_id time median p95 total stream warmup drift retrain_every status
Stacking-Online 4 400 2 0.006616 0.006596 0.006683 1.323148 200 200 1x 100 ok
BMA 4 400 3 0.000553 0.000057 0.000067 0.110541 200 200 1x 100 ok
Stacking-Online 4 400 3 0.006607 0.006595 0.006638 1.321367 200 200 1x 100 ok
BMA 4 400 4 0.000563 0.000057 0.000067 0.112650 200 200 1x 100 ok
Stacking-Online 4 400 4 0.006607 0.006598 0.006627 1.321305 200 200 1x 100 ok
BMA 4 400 5 0.000555 0.000056 0.000067 0.110913 200 200 1x 100 ok
Stacking-Online 4 400 5 0.006596 0.006586 0.006615 1.319106 200 200 1x 100 ok
BMA 4 400 6 0.000553 0.000057 0.000066 0.110588 200 200 1x 100 ok
Stacking-Online 4 400 6 0.006608 0.006602 0.006628 1.321534 200 200 1x 100 ok
BMA 4 400 7 0.000551 0.000056 0.000066 0.110298 200 200 1x 100 ok
Stacking-Online 4 400 7 0.006731 0.006719 0.006768 1.346218 200 200 1x 100 ok
BMA 4 400 8 0.000561 0.000057 0.000068 0.112299 200 200 1x 100 ok
Stacking-Online 4 400 8 0.006589 0.006581 0.006610 1.317733 200 200 1x 100 ok
BMA 4 400 9 0.000561 0.000057 0.000068 0.112242 200 200 1x 100 ok
Stacking-Online 4 400 9 0.006594 0.006586 0.006616 1.318719 200 200 1x 100 ok
BMA 8 400 0 0.001943 0.000058 0.000068 0.388524 200 200 1x 100 ok
Stacking-Online 8 400 0 0.012548 0.012535 0.012574 2.509682 200 200 1x 100 ok
BMA 8 400 1 0.001936 0.000058 0.000068 0.387103 200 200 1x 100 ok
Stacking-Online 8 400 1 0.012581 0.012563 0.012611 2.516143 200 200 1x 100 ok
BMA 8 400 2 0.001973 0.000059 0.000069 0.394593 200 200 1x 100 ok
Stacking-Online 8 400 2 0.012345 0.012328 0.012373 2.469019 200 200 1x 100 ok
BMA 8 400 3 0.001940 0.000058 0.000070 0.387915 200 200 1x 100 ok
Stacking-Online 8 400 3 0.012554 0.012536 0.012585 2.510764 200 200 1x 100 ok
BMA 8 400 4 0.001937 0.000058 0.000069 0.387451 200 200 1x 100 ok
Stacking-Online 8 400 4 0.012352 0.012331 0.012379 2.470408 200 200 1x 100 ok
BMA 8 400 5 0.001977 0.000059 0.000069 0.395395 200 200 1x 100 ok
Stacking-Online 8 400 5 0.012355 0.012336 0.012385 2.471085 200 200 1x 100 ok
BMA 8 400 6 0.001940 0.000058 0.000067 0.388018 200 200 1x 100 ok
Stacking-Online 8 400 6 0.012533 0.012525 0.012569 2.506584 200 200 1x 100 ok
BMA 8 400 7 0.001940 0.000057 0.000069 0.387984 200 200 1x 100 ok
Stacking-Online 8 400 7 0.012363 0.012352 0.012399 2.472623 200 200 1x 100 ok
BMA 8 400 8 0.001942 0.000057 0.000067 0.388403 200 200 1x 100 ok
Stacking-Online 8 400 8 0.012552 0.012523 0.012746 2.510424 200 200 1x 100 ok
BMA 8 400 9 0.001944 0.000057 0.000068 0.388716 200 200 1x 100 ok
Stacking-Online 8 400 9 0.012335 0.012322 0.012356 2.467005 200 200 1x 100 ok
BMA 16 400 0 0.012408 0.000058 0.000065 2.481606 200 200 1x 100 ok
Stacking-Online 16 400 0 0.024170 0.024139 0.024223 4.833961 200 200 1x 100 ok
BMA 16 400 1 0.012599 0.000060 0.000067 2.519726 200 200 1x 100 ok
Stacking-Online 16 400 1 0.024182 0.024169 0.024235 4.836401 200 200 1x 100 ok
BMA 16 400 2 0.012592 0.000059 0.000069 2.518340 200 200 1x 100 ok
Stacking-Online 16 400 2 0.024100 0.024087 0.024150 4.820007 200 200 1x 100 ok
BMA 16 400 3 0.012580 0.000059 0.000067 2.516031 200 200 1x 100 ok
Stacking-Online 16 400 3 0.024084 0.024064 0.024149 4.816802 200 200 1x 100 ok
BMA 16 400 4 0.012629 0.000060 0.000067 2.525775 200 200 1x 100 ok
Stacking-Online 16 400 4 0.023733 0.023719 0.023770 4.746615 200 200 1x 100 ok
BMA 16 400 5 0.012614 0.000060 0.000066 2.522748 200 200 1x 100 ok
